location,iso_code,vaccines,last_observation_date,source_name,source_website
England,OWID_ENG,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-03,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Equatorial Guinea,GNQ,Sinopharm/Beijing,2021-12-01,Ministry of Health,https://guineasalud.org/estadisticas/
Estonia,EST,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-04,National Health Board,https://opendata.digilugu.ee
Eswatini,SWZ,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",2021-11-24,World Health Organization,https://covid19.who.int/
Ethiopia,ETH,Oxford/AstraZeneca,2021-12-02,Ministry of Health,https://twitter.com/FMoHealth/status/1466486387650277386
Faeroe Islands,FRO,"Moderna, Pfizer/BioNTech",2021-11-05,Government of the Faeroe Islands,https://corona.fo/api
Falkland Islands,FLK,Oxford/AstraZeneca,2021-04-14,Government of the Falkland Islands,https://www.facebook.com/FalkIandsGov/posts/4401230323224594
Fiji,FJI,Oxford/AstraZeneca,2021-11-30,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Finland,FIN,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-04,Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov?column=measure-533185.533172.433796.533175&row=cov_vac_dose-533174L
France,FRA,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-02,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
French Polynesia,PYF,"Johnson&Johnson, Pfizer/BioNTech",2021-11-30,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Gabon,GAB,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2021-11-24,Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Gambia,GMB,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",2021-11-21,Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Georgia,GEO,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",2021-12-03,National Center for Disease Control and Public Health,https://vaccines.ncdc.ge/vaccinationprocess/
Germany,DEU,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-03,Robert Koch Institut,https://impfdashboard.de/
Ghana,GHA,"Oxford/AstraZeneca, Sputnik V",2021-11-24,World Health Organization,https://africacdc.org/covid-19-vaccination/
Gibraltar,GIB,Pfizer/BioNTech,2021-12-03,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1466766640876601344
Greece,GRC,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-04,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greenland,GRL,Moderna,2021-12-03,Government of Greenland,https://corona.nun.gl
Grenada,GRD,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-03,World Health Organization,https://covid19.who.int/
Guatemala,GTM,"Moderna, Oxford/AstraZeneca",2021-12-03,Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
Guernsey,GGY,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-11-22,Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
Guinea,GIN,Sputnik V,2021-11-28,National Health Security Agency,https://twitter.com/anss_guinee/status/1465223474570485767
Guinea-Bissau,GNB,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-11-28,World Health Organization,https://covid19.who.int/
Guyana,GUY,"Oxford/AstraZeneca, Sputnik V",2021-12-02,Ministry of Health,https://www.facebook.com/mohguyana/posts/2743002626003266
Haiti,HTI,"Johnson&Johnson, Moderna",2021-11-19,Pan American Health Organization,https://www.facebook.com/msppht/posts/232610935644906
Honduras,HND,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",2021-11-29,World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Hong Kong,HKG,"Pfizer/BioNTech, Sinovac",2021-12-04,Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
Hungary,HUN,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2021-12-02,Government of Hungary,https://koronavirus.gov.hu//cikkek/6-millio-146-ezer-beoltott-10-143-az-uj-fertozott-elhunyt-191-beteg
Iceland,ISL,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-02,Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,"Covaxin, Oxford/AstraZeneca, Sputnik V",2021-12-04,Government of India,https://dashboard.cowin.gov.in/
Indonesia,IDN,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",2021-12-04,Government of Indonesia,https://data.covid19.go.id/public/index.html
Iran,IRN,"COVIran Barekat, Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Soberana02, Sputnik V",2021-11-28,World Health Organization,https://covid19.who.int/
Iraq,IRQ,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2021-11-30,World Health Organization,https://covid19.who.int/
Ireland,IRL,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-02,Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Isle of Man,IMN,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-04,Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
Israel,ISR,"Moderna, Pfizer/BioNTech",2021-12-04,Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-04,Extraordinary commissioner for the Covid-19 emergency,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv
Jamaica,JAM,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-04,Ministry of Health,https://vaccination.moh.gov.jm/
Japan,JPN,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-02,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
Jersey,JEY,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-02,Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
Jordan,JOR,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2021-12-04,Government of Jordan,https://corona.moh.gov.jo/ar
Kazakhstan,KAZ,"QazVac, Sinopharm/Beijing, Sputnik V",2021-12-04,Government of Kazakhstan,https://www.coronavirus2020.kz/
Kenya,KEN,"Oxford/AstraZeneca, Sputnik V",2021-12-03,Ministry of Health,https://www.health.go.ke/wp-content/uploads/2021/12/MINISTRY-OF-HEALTH-KENYA-COVID-19-IMMUNIZATION-STATUS-REPORT-3rd-December-2021..pdf
Kiribati,KIR,Oxford/AstraZeneca,2021-11-30,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Kosovo,OWID_KOS,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-03,Ministry of Health,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2153169564840619
Kuwait,KWT,Pfizer/BioNTech,2021-11-30,World Health Organization,https://www.moh.gov.kw/en/Pages/default.aspx
Kyrgyzstan,KGZ,"Sinopharm/Beijing, Sputnik V",2021-12-03,Ministry of Health,https://vc.emed.gov.kg/
Laos,LAO,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",2021-11-23,World Health Organization,https://covid19.who.int/
Latvia,LVA,"Johnson&Johnson, Moderna, Pfizer/BioNTech",2021-12-03,National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lebanon,LBN,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2021-12-04,Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
Lesotho,LSO,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",2021-11-17,World Health Organization,https://covid19.who.int/
Liberia,LBR,Oxford/AstraZeneca,2021-11-18,World Health Organization,https://covid19.who.int/
Libya,LBY,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",2021-12-02,World Health Organization,https://africacdc.org/covid-19-vaccination/
Liechtenstein,LIE,"Moderna, Pfizer/BioNTech",2021-12-02,Federal Office of Public Health,https://opendata.swiss/en/dataset/covid-19-schweiz?detGeo=FL
Lithuania,LTU,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-04,Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
Luxembourg,LUX,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-11-29,Government of Luxembourg,https://download.data.public.lu/resources/covid-19-rapports-journaliers/20211130-172453/coronavirus-rapport-journalier-30112021.pdf
Macao,MAC,"Pfizer/BioNTech, Sinopharm/Beijing",2021-12-04,Government of Macao,https://www.ssm.gov.mo/apps1/PreventCOVID-19/en.aspx
Madagascar,MDG,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",2021-11-29,World Health Organization,https://covid19.who.int/
Malawi,MWI,"Johnson&Johnson, Oxford/AstraZeneca",2021-12-02,Ministry of Health,https://twitter.com/health_malawi/status/1466477768158457858
Malaysia,MYS,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",2021-12-03,Government of Malaysia,https://github.com/CITF-Malaysia/citf-public
Maldives,MDV,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2021-12-01,Presidency of the Maldives,https://twitter.com/HPA_MV/status/1466632370787078148
Mali,MLI,Oxford/AstraZeneca,2021-11-28,World Health Organization,https://covid19.who.int/
Malta,MLT,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-03,COVID-19 Malta Public Health Response Team,https://github.com/COVID19-Malta/COVID19-Cases
Mauritania,MRT,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-12-02,Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Mauritius,MUS,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",2021-11-23,World Health Organization,https://covid19.who.int/
Mexico,MEX,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2021-12-02,Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/685242/2021.12.02_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Moldova,MDA,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2021-12-04,Ministry of Health,https://vaccinare.gov.md/
Monaco,MCO,Pfizer/BioNTech,2021-09-16,National Council,https://www.gouv.mc//Action-Gouvernementale/Coronavirus-Covid-19/Actualites/Covid-19-2-nouveaux-cas-positifs-et-4-guerisons-ce-vendredi-17-septembre
Mongolia,MNG,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2021-12-04,Ministry of Health via ikon.mn,https://ikon.mn/
Montenegro,MNE,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2021-12-04,Government of Montenegro,https://www.covidodgovor.me/
Montserrat,MSR,Oxford/AstraZeneca,2021-11-12,World Health Organization,https://covid19.who.int/
Morocco,MAR,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2021-11-29,World Health Organization,https://covid19.who.int/
Mozambique,MOZ,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",2021-12-02,World Health Organization,https://africacdc.org/covid-19-vaccination/
Myanmar,MMR,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-11-27,World Health Organization,https://covid19.who.int/
Namibia,NAM,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2021-12-02,Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Nauru,NRU,Oxford/AstraZeneca,2021-08-31,World Health Organization,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Nepal,NPL,"Covaxin, Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2021-11-29,World Health Organization,https://covid19.who.int/
Netherlands,NLD,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-01,Government of the Netherlands,https://coronadashboard.government.nl/landelijk/vaccinaties
New Caledonia,NCL,Pfizer/BioNTech,2021-11-30,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
New Zealand,NZL,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-04,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
Nicaragua,NIC,"Abdala, Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Soberana02, Sputnik Light, Sputnik V",2021-12-01,World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Niger,NER,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-11-28,World Health Organization,https://covid19.who.int/
Nigeria,NGA,Oxford/AstraZeneca,2021-12-02,World Health Organization,https://africacdc.org/covid-19-vaccination/
Niue,NIU,Oxford/AstraZeneca,2021-08-02,SPC Public Health Division,https://covid19.who.int
North Macedonia,MKD,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",2021-11-22,Government of North Macedonia,http://zdravstvo.gov.mk/vkupno-aplicirani-1-675-793-dozi-vakcini-revakcinirani-47-od-polnoletnite-gragjani-vo-drzhavata/
Northern Cyprus,OWID_CYN,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2021-11-26,Ministry of Health,https://asi.saglik.gov.ct.tr/
Northern Ireland,OWID_NIR,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-03,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Norway,NOR,"Moderna, Pfizer/BioNTech",2021-12-02,Norwegian Institute of Public Health,https://github.com/folkehelseinstituttet/surveillance_data
Oman,OMN,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2021-11-23,World Health Organization,https://twitter.com/OmaniMOH/status/1463092407562608644
Pakistan,PAK,"CanSino, Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",2021-12-02,National Command and Operation Centre,https://ncoc.gov.pk/covid-vaccination-en.php
Palestine,PSE,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",2021-11-22,World Health Organization,https://covid19.who.int/
Panama,PAN,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-04,Pan American Health Organization,https://vacunas.panamasolidario.gob.pa/vacunometro
Papua New Guinea,PNG,Oxford/AstraZeneca,2021-11-30,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Paraguay,PRY,"Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",2021-12-03,Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Peru,PER,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2021-12-01,Ministerio de Salud via github.com/jmcastagnetto/covid-19-peru-vacunas,https://www.datosabiertos.gob.pe/dataset/vacunacion
